execution_id,classification_time,load_time,reduce_time,transform_time,reduce_on,classifier,reducer,transforms,number runs,reducer_datasets,train_datasets,test_datasets,sensors used,scaler,umap components,accuracy (mean),accuracy (std),f1-score macro (mean),f1-score macro (std),f1-score micro (mean),f1-score micro (std),f1-score weighted (mean),f1-score weighted (std)
004486,4.770867109298706,3.834437370300293,76.79511022567749,0.0849156379699707,all,svm,umap-15-all,no_transform.0,5,"motionsense.train, motionsense.validation","motionsense.train, motionsense.validation",motionsense.test,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",std_scaler,15,0.7109227871939736,0.0,0.7034663051028214,0.0,0.7109227871939735,0.0,0.7034663051028214,0.0
004381,4.269198894500732,3.190538167953491,78.0132052898407,0.0597991943359375,all,randomforest-100,umap-15-all,no_transform.0,5,"uci.train, uci.validation","kuhar.train, kuhar.validation",kuhar.test,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",std_scaler,15,0.5152777777777777,0.01194767398200365,0.49267065274997074,0.013177975731784815,0.5152777777777777,0.01194767398200365,0.49267065274997074,0.013177975731784792
004179,7.068519830703735,3.332740306854248,69.70074915885925,0.4706902503967285,all,randomforest-100,umap-10-all,with_fft_all.0,5,"motionsense.train, motionsense.validation","motionsense.train, motionsense.validation",motionsense.test,"gyro-x, gyro-y, gyro-z",no_scaler,10,0.8451977401129944,0.004151677530140982,0.8448080723322979,0.004079859667718185,0.8451977401129944,0.004151677530140982,0.8448080723322979,0.004079859667718099
003062,2.790421962738037,6.510306119918823,100.5377516746521,0.047348737716674805,all,svm,umap-8-all,no_transform.0,5,"kuhar.train, kuhar.validation","uci.train, uci.validation",uci.test,"accel-x, accel-y, accel-z",minmax_scaler,8,0.4695652173913044,5.551115123125783e-17,0.46567816976203924,0.0,0.4695652173913044,5.551115123125783e-17,0.46567816976203924,5.551115123125783e-17
004013,4.579849720001221,3.066012144088745,117.39786529541016,0.021502971649169922,all,svm,umap-10-all,no_transform.0,5,"uci.train, uci.validation","motionsense.train, motionsense.validation",motionsense.test,"accel-x, accel-y, accel-z",minmax_scaler,10,0.6713747645951036,0.0,0.667110457024139,0.0,0.6713747645951036,0.0,0.667110457024139,0.0
004063,0.16767621040344238,2.9419026374816895,80.31650924682617,0.014953136444091797,all,knn-5,umap-10-all,no_transform.0,5,"motionsense.train, motionsense.validation","kuhar.train, kuhar.validation",kuhar.test,"accel-x, accel-y, accel-z",std_scaler,10,0.5555555555555556,0.0,0.5519249780290367,0.0,0.5555555555555556,0.0,0.5519249780290366,0.0
004402,8.730029106140137,3.8339810371398926,128.63274836540222,0.06643795967102051,all,randomforest-100,umap-15-all,no_transform.0,5,"kuhar.train, kuhar.validation","motionsense.train, motionsense.validation",motionsense.test,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",std_scaler,15,0.6218455743879472,0.006485565106486822,0.617496162423063,0.00680697138961496,0.6218455743879472,0.006485565106486822,0.6174961624230633,0.006806971389614983
004607,0.4798753261566162,5.223963499069214,56.21530246734619,0.0383305549621582,all,knn-5,umap-15-all,no_transform.0,5,"uci.train, uci.validation","uci.train, uci.validation",uci.test,"accel-x, accel-y, accel-z",minmax_scaler,15,0.5521739130434783,0.0,0.5626940680195831,0.0,0.5521739130434783,0.0,0.5626940680195831,0.0
003762,5.767443656921387,4.362292528152466,141.4897060394287,0.7857937812805176,all,svm,umap-9-all,with_fft_all.0,5,"kuhar.train, kuhar.validation","motionsense.train, motionsense.validation",motionsense.test,"accel-x, accel-y, accel-z",no_scaler,9,0.7099811676082862,0.0,0.705912785438096,0.0,0.7099811676082862,0.0,0.7059127854380961,0.0
005001,3.815704107284546,4.651738166809082,109.9163908958435,0.10117745399475098,all,svm,umap-20-all,no_transform.0,5,"uci.train, uci.validation","uci.train, uci.validation",uci.test,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",no_scaler,20,0.45652173913043476,0.0,0.43682603242751733,0.0,0.45652173913043476,0.0,0.4368260324275174,0.0
000418,0.11265873908996582,3.536686658859253,70.99351382255554,0.4026987552642822,all,knn-5,umap-2-all,with_fft_all.0,5,"motionsense.train, motionsense.validation","kuhar.train, kuhar.validation",kuhar.test,"accel-x, accel-y, accel-z",std_scaler,2,0.5138888888888888,0.0,0.5076853792756866,0.0,0.5138888888888888,0.0,0.5076853792756866,0.0
