Dataset: KuHar 	 Iteration: 212 	 Time of execution: 205 minutes and 24 seconds
Dataset: KuHar 	 Iteration: 213 	 Time of execution: 206 minutes and 59 seconds
Dataset: KuHar 	 Iteration: 214 	 Time of execution: 208 minutes and 34 seconds
Dataset: KuHar 	 Iteration: 215 	 Time of execution: 210 minutes and 11 seconds
Dataset: KuHar 	 Iteration: 216 	 Time of execution: 211 minutes and 47 seconds
Dataset: KuHar 	 Iteration: 217 	 Time of execution: 213 minutes and 23 seconds
Dataset: KuHar 	 Iteration: 218 	 Time of execution: 215 minutes and 0 seconds
Dataset: KuHar 	 Iteration: 219 	 Time of execution: 216 minutes and 37 seconds
Dataset: KuHar 	 Iteration: 220 	 Time of execution: 218 minutes and 14 seconds
Dataset: KuHar 	 Iteration: 221 	 Time of execution: 219 minutes and 52 seconds
Dataset: KuHar 	 Iteration: 222 	 Time of execution: 221 minutes and 30 seconds
Dataset: KuHar 	 Iteration: 223 	 Time of execution: 223 minutes and 9 seconds
Dataset: KuHar 	 Iteration: 224 	 Time of execution: 224 minutes and 45 seconds
Dataset: KuHar 	 Iteration: 225 	 Time of execution: 226 minutes and 24 seconds
Dataset: KuHar 	 Iteration: 226 	 Time of execution: 228 minutes and 4 seconds
Dataset: KuHar 	 Iteration: 227 	 Time of execution: 229 minutes and 43 seconds
Dataset: KuHar 	 Iteration: 228 	 Time of execution: 231 minutes and 23 seconds
Dataset: KuHar 	 Iteration: 229 	 Time of execution: 233 minutes and 2 seconds
Dataset: KuHar 	 Iteration: 230 	 Time of execution: 234 minutes and 43 seconds
Dataset: KuHar 	 Iteration: 231 	 Time of execution: 236 minutes and 26 seconds
Dataset: KuHar 	 Iteration: 232 	 Time of execution: 238 minutes and 7 seconds
Dataset: KuHar 	 Iteration: 233 	 Time of execution: 239 minutes and 50 seconds
Dataset: KuHar 	 Iteration: 234 	 Time of execution: 241 minutes and 33 seconds
Dataset: KuHar 	 Iteration: 235 	 Time of execution: 243 minutes and 15 seconds
Dataset: KuHar 	 Iteration: 236 	 Time of execution: 244 minutes and 57 seconds
Dataset: KuHar 	 Iteration: 237 	 Time of execution: 246 minutes and 40 seconds
Dataset: KuHar 	 Iteration: 238 	 Time of execution: 248 minutes and 23 seconds
Dataset: KuHar 	 Iteration: 239 	 Time of execution: 250 minutes and 6 seconds
Dataset: KuHar 	 Iteration: 240 	 Time of execution: 251 minutes and 50 seconds
Dataset: KuHar 	 Iteration: 241 	 Time of execution: 253 minutes and 35 seconds
Dataset: KuHar 	 Iteration: 242 	 Time of execution: 255 minutes and 20 seconds
Dataset: KuHar 	 Iteration: 243 	 Time of execution: 257 minutes and 5 seconds
Dataset: KuHar 	 Iteration: 244 	 Time of execution: 258 minutes and 50 seconds
Dataset: KuHar 	 Iteration: 245 	 Time of execution: 260 minutes and 36 seconds
Dataset: KuHar 	 Iteration: 246 	 Time of execution: 262 minutes and 21 seconds
Dataset: KuHar 	 Iteration: 247 	 Time of execution: 264 minutes and 7 seconds
Dataset: KuHar 	 Iteration: 248 	 Time of execution: 265 minutes and 53 seconds
Dataset: KuHar 	 Iteration: 249 	 Time of execution: 267 minutes and 39 seconds
Dataset: KuHar 	 Iteration: 250 	 Time of execution: 269 minutes and 26 seconds
Dataset: KuHar 	 Iteration: 251 	 Time of execution: 271 minutes and 14 seconds
Dataset: KuHar 	 Iteration: 252 	 Time of execution: 273 minutes and 1 seconds
Dataset: KuHar 	 Iteration: 253 	 Time of execution: 274 minutes and 50 seconds
Dataset: KuHar 	 Iteration: 254 	 Time of execution: 276 minutes and 42 seconds
Dataset: KuHar 	 Iteration: 255 	 Time of execution: 278 minutes and 31 seconds
Dataset: KuHar 	 Iteration: 256 	 Time of execution: 280 minutes and 25 seconds
Dataset: KuHar 	 Iteration: 257 	 Time of execution: 282 minutes and 14 seconds
Dataset: KuHar 	 Iteration: 258 	 Time of execution: 284 minutes and 3 seconds
Dataset: KuHar 	 Iteration: 259 	 Time of execution: 285 minutes and 53 seconds
Dataset: KuHar 	 Iteration: 260 	 Time of execution: 287 minutes and 43 seconds
Dataset: KuHar 	 Iteration: 261 	 Time of execution: 289 minutes and 33 seconds
Dataset: KuHar 	 Iteration: 262 	 Time of execution: 291 minutes and 25 seconds
Dataset: KuHar 	 Iteration: 263 	 Time of execution: 293 minutes and 15 seconds
Dataset: KuHar 	 Iteration: 264 	 Time of execution: 295 minutes and 8 seconds
Dataset: KuHar 	 Iteration: 265 	 Time of execution: 297 minutes and 0 seconds
Dataset: KuHar 	 Iteration: 266 	 Time of execution: 298 minutes and 52 seconds
Dataset: KuHar 	 Iteration: 267 	 Time of execution: 300 minutes and 45 seconds
Dataset: KuHar 	 Iteration: 268 	 Time of execution: 302 minutes and 37 seconds
Dataset: KuHar 	 Iteration: 269 	 Time of execution: 304 minutes and 32 seconds
Dataset: KuHar 	 Iteration: 270 	 Time of execution: 306 minutes and 28 seconds
Dataset: KuHar 	 Iteration: 271 	 Time of execution: 308 minutes and 21 seconds
Dataset: KuHar 	 Iteration: 272 	 Time of execution: 310 minutes and 20 seconds
Dataset: KuHar 	 Iteration: 273 	 Time of execution: 312 minutes and 15 seconds
Dataset: KuHar 	 Iteration: 274 	 Time of execution: 314 minutes and 10 seconds
Dataset: KuHar 	 Iteration: 275 	 Time of execution: 316 minutes and 5 seconds
Dataset: KuHar 	 Iteration: 276 	 Time of execution: 318 minutes and 1 seconds
Dataset: KuHar 	 Iteration: 277 	 Time of execution: 319 minutes and 56 seconds
Dataset: KuHar 	 Iteration: 278 	 Time of execution: 321 minutes and 53 seconds
Dataset: KuHar 	 Iteration: 279 	 Time of execution: 323 minutes and 50 seconds
Dataset: KuHar 	 Iteration: 280 	 Time of execution: 325 minutes and 47 seconds
Dataset: KuHar 	 Iteration: 281 	 Time of execution: 327 minutes and 46 seconds
Dataset: KuHar 	 Iteration: 282 	 Time of execution: 329 minutes and 44 seconds
Dataset: KuHar 	 Iteration: 283 	 Time of execution: 331 minutes and 41 seconds
Dataset: KuHar 	 Iteration: 284 	 Time of execution: 333 minutes and 38 seconds
Dataset: KuHar 	 Iteration: 285 	 Time of execution: 335 minutes and 37 seconds
Dataset: KuHar 	 Iteration: 286 	 Time of execution: 337 minutes and 35 seconds
Dataset: KuHar 	 Iteration: 287 	 Time of execution: 339 minutes and 34 seconds
Dataset: KuHar 	 Iteration: 288 	 Time of execution: 341 minutes and 32 seconds
Dataset: KuHar 	 Iteration: 289 	 Time of execution: 343 minutes and 31 seconds
Dataset: KuHar 	 Iteration: 290 	 Time of execution: 345 minutes and 31 seconds
Dataset: KuHar 	 Iteration: 291 	 Time of execution: 347 minutes and 30 seconds
Dataset: KuHar 	 Iteration: 292 	 Time of execution: 349 minutes and 30 seconds
Dataset: KuHar 	 Iteration: 293 	 Time of execution: 351 minutes and 31 seconds
Dataset: KuHar 	 Iteration: 294 	 Time of execution: 353 minutes and 32 seconds
Dataset: KuHar 	 Iteration: 295 	 Time of execution: 355 minutes and 33 seconds
Dataset: KuHar 	 Iteration: 296 	 Time of execution: 357 minutes and 34 seconds
Dataset: KuHar 	 Iteration: 297 	 Time of execution: 359 minutes and 36 seconds
Dataset: KuHar 	 Iteration: 298 	 Time of execution: 361 minutes and 38 seconds
Dataset: KuHar 	 Iteration: 299 	 Time of execution: 363 minutes and 41 seconds
Dataset: KuHar 	 Iteration: 300 	 Time of execution: 365 minutes and 44 seconds
Dataset: KuHar 	 Iteration: 301 	 Time of execution: 367 minutes and 46 seconds
Dataset: KuHar 	 Iteration: 302 	 Time of execution: 369 minutes and 52 seconds
Dataset: KuHar 	 Iteration: 303 	 Time of execution: 371 minutes and 55 seconds
Dataset: KuHar 	 Iteration: 304 	 Time of execution: 374 minutes and 0 seconds
Dataset: KuHar 	 Iteration: 305 	 Time of execution: 376 minutes and 5 seconds
Dataset: KuHar 	 Iteration: 306 	 Time of execution: 378 minutes and 9 seconds
Dataset: KuHar 	 Iteration: 307 	 Time of execution: 380 minutes and 14 seconds
